entry_date,entry_idx,entry,exit_date,exit_idx,exit,ret,lev_ret,reason
2025-03-02 05:45:00,145969,85931.742912,2025-03-02 06:15:00,145971,86022.49105799999,0.0010560491725731184,0.05280245862865592,TP
2025-03-03 09:30:00,146080,91914.3792,2025-03-03 11:00:00,146086,92565.26935199999,0.007081483416035439,0.35407417080177195,TP
2025-03-04 10:30:00,146180,83656.607976,2025-03-04 11:00:00,146182,83988.72438599999,0.003969996131032084,0.1984998065516042,TP
2025-03-05 06:00:00,146258,87163.419198,2025-03-05 08:15:00,146267,87737.36928263608,0.006584758720080645,0.32923793600403223,TP
2025-03-05 16:45:00,146301,88126.531782,2025-03-05 17:15:00,146303,89147.836002,0.011589066304417917,0.5794533152208958,TP
2025-03-05 20:30:00,146316,90036.113622,2025-03-05 23:45:00,146329,90879.70230599999,0.00936944799218721,0.4684723996093605,TP
2025-03-06 09:45:00,146369,90922.49086199999,2025-03-06 10:15:00,146371,91018.2,0.0010526453586194718,0.05263226793097359,TP
2025-03-07 17:15:00,146495,86970.84069,2025-03-07 17:45:00,146497,87991.324746,0.011733634490638396,0.5866817245319198,TP
2025-03-09 06:15:00,146643,85891.014768,2025-03-09 07:30:00,146648,86109.33180082281,0.0025417912852992927,0.12708956426496465,TP
2025-03-09 18:00:00,146690,82382.463198,2025-03-09 18:15:00,146691,82555.50779999999,0.0021005028896027896,0.10502514448013948,TP
2025-03-10 03:15:00,146727,81925.751874,2025-03-10 05:00:00,146734,82650.57681,0.00884733944358264,0.442366972179132,TP
2025-03-10 10:15:00,146755,82249.266564,2025-03-10 11:45:00,146761,82548.39637799999,0.003636869074902032,0.1818434537451016,TP
2025-03-11 00:45:00,146813,76830.12295199999,2025-03-11 01:30:00,146816,77759.678826,0.012098846627913861,0.6049423313956931,TP
2025-03-11 05:15:00,146831,80197.816356,2025-03-11 08:15:00,146843,80827.6623,0.007853654533486293,0.39268272667431464,TP
2025-03-11 17:15:00,146879,81375.591864,2025-03-11 18:15:00,146883,82450.24675199999,0.01320610840896888,0.660305420448444,TP
2025-03-12 18:45:00,146981,82721.89107,2025-03-12 22:15:00,146995,83422.38114,0.008468013254281613,0.42340066271408067,TP
2025-03-14 13:45:00,147153,83283.21331199999,2025-03-14 13:45:00,147153,83283.21331199999,0.0,0.0,TP
2025-03-16 11:45:00,147337,82545.38577600001,2025-03-16 13:00:00,147342,82772.441178,0.0027506734612172557,0.13753367306086278,TP
2025-03-19 07:45:00,147609,83202.13709999999,2025-03-19 08:30:00,147612,83422.701204,0.0026509427724784322,0.13254713862392162,TP
2025-03-19 23:00:00,147670,86175.75170400001,2025-03-19 23:15:00,147671,86348.08616400001,0.0019998022250149864,0.09999011125074932,TP
2025-03-22 02:15:00,147875,84190.194672,2025-03-22 05:15:00,147887,84395.33173658655,0.0024365909282637417,0.12182954641318708,TP
2025-03-22 15:00:00,147926,84024.031446,2025-03-22 16:45:00,147933,84144.8256,0.0014376143577166263,0.07188071788583132,TP
2025-03-26 09:45:00,148289,87993.77523599999,2025-03-26 10:15:00,148291,88042.605,0.0005549229348217798,0.027746146741088988,TP
2025-03-29 12:30:00,148588,82439.08452,2025-03-29 14:00:00,148594,82865.99367420196,0.0051784800460561884,0.25892400230280943,TP
2025-03-30 14:00:00,148690,82694.955684,2025-03-30 14:45:00,148693,82867.740234,0.0020894206734961393,0.10447103367480697,TP
2025-04-02 15:15:00,148983,86217.24,2025-04-02 15:30:00,148984,86573.471232,0.004131786542923329,0.20658932714616643,TP
2025-04-02 23:30:00,149016,82859.16852,2025-04-03 00:00:00,149018,82499.776744,-0.004337380912931276,-0.21686904564656379,SL
2025-04-04 06:45:00,149141,83088.61439999999,2025-04-04 07:00:00,149142,83071.340946,-0.00020789194915247827,-0.010394597457623913,TP
